
spranes sopranist
sprano soprano
sosere sorcery
sodd sordid
sodd-n sordidness
sorn soreness
sogm sorghum
sor^r sorority
sorel sorrel
soro sorrow
sorof sorrowful
sore sorry
sot sort
sote sortie
subret soubrette
sufla souffle
sot sought
sol soul
soll soulless

# Page 169 Column 3
snd sound
sndl soundless
sup soup
saur sour
sos source
saurn sourness
sou south
ses southeast
ses^re southeasterly
suthen southern
suthene~ southerner
sues southwest
suestn southwestern
suvne~ souvenir
sov sovereign
sovte sovereignty
so-er sower
spas space
spashus spacious
spad spade
spgete spaghetti
span span
spangl spangle
spana~d spaniard
spnel spaniel
spnesh spanish
spar spare

# Page 170 Column 1
spark spark
sparkl sparkle
sparo sparrow
spars sparse
spa~tn spartan
spasm spasm
spasmod spasmodic
spate~ spatter
sp speak
sp^r speaker
sp^rsh speakership
sper spear
sperfesh spearfish
spe~mn-t spearmint
spesh special
speshliz specialize
speshte specialty
speshes species
spesk specific
spes^f specification
spes specify
spesmn specimen
speshus specious
spk speck
spkl speckled
spkt^k spectacle
spktak spectacular

# Page 170 Column 2
spktat spectator
spkte~ specter
spktrl spectral
spktrm spectrum
spk^u speculate
spk^ush speculation
spk^uv speculative
spk^ur speculator
sp speech
sp^l speechless
sp^ls speechlessness
spmakr speechmaker
spd speed
spde speedy
spl spell
splbn spellbound
spnd spend
spndthref spendthrift
sfer sphere
sfer^k spherical
sfenks sphinx
spis spice
spise spicy
spide~ spider
spgt spigot
spik spike
spen spin

# Page 170 Column 3
spnj spinach
spinl spinal
spndl spindle
spenet spinet
spnste~ spinster
spirl spiral
spir spire
spr spirit
sprl spiritless
sprul spiritual
sprulsm spiritualism
sprules spiritualist
spr^l spirituality
spr^us spirituous
spit spite
spit spiteful
splash splash
splend splendid
splendr splendor
splis splice
splent splint
splentr splinter
spet split
sprj splurge
spoel spoil
spoelr spoiler
spoelsm spoilsman

# Page 171 Column 1
spok spoke
spokn spoken
spnj sponge
spnjen sponginess
spnje spongy
sponsor sponsor
spontete spontaneity
spont spontaneous
spul spool
spun spoon
spunf spoonful
spot sport
spotv sportive
spotsmn sportsman
spotsmnsh sportsmanship
spot spot
spotl spotless
spotd spotted
spaus spouse
spaut spout
spran sprain
sprol sprawl
spra spray
spred spread
sprede~ spreader
spreg sprig
spriten sprightliness

# Page 171 Column 2
spreng spring
sprengtm springtime
sprenkl sprinkle
sprent sprint
spri sprite
sproket sprocket
spraut sprout
sprus spruce
spri spry
spnke spunky
spur spur
spurus spurious
spe~n spurn
spe~t spurt
spute~ sputter
spi spy
sko_b squabble
sko_d squad
sko_drn squadron
sko_led squalid
sko_l squall
sko_lr squalor
sko_nd squander
sko_ndr squanderer
ska_r square
sko_sh squash

# Page 171 Column 3
sko_te~ squatter
sko_ squaw
sko_k squawk
ske_l squeal
ske_msh squeamish
ske_z squeeze
ske_lch squelch
ske_b squib
ske_nt squint
ski_r squire
ske_rm squirm
ske_rl squirrel
stab
stabr stabber
st^b stability
stabliz stabilize
stab stable
stakato staccato
stak stack
stadem stadium
staf staff
stag stag
staj stage
stagr stagger
stagn stagnant
stagnat stagnate
stagnsh stagnation

# Page 172 Column 1
stad staid
stade staidly
stad-n staidness
stan stain
stanl stainless
sta~ stair
starkas staircase
stak stake
stlkti stalactite
stlgmi stalagmite
stal stale
stok stalk
stokt stalked
stol stall
stole~_t stalwart
stamna stamina
stmr stammer
stmp stamp
stmpd stampede
